iteration number, training time, fitness
0,1.36882E-4,3.0
100,0.01452842,3.0
200,0.016246379,4.0
300,0.017106157,5.0
400,0.020067832,5.0
500,0.021103791,5.0
600,0.023287726,5.0
700,0.02387484,5.0
800,0.024431005,5.0
900,0.025924741,5.0
1000,0.026622931,5.0
1100,0.027280796,5.0
1200,0.02792159,5.0
1300,0.02856493,5.0
1400,0.029255862,5.0
1500,0.030466979,8.0
1600,0.030918463,8.0
1700,0.031303939,8.0
1800,0.03164783,8.0
1900,0.031990801,8.0
2000,0.032290452,8.0
2100,0.03261731,8.0
2200,0.032947599,8.0
2300,0.033730674,9.0
2400,0.034123169,9.0
2500,0.034451276,12.0
2600,0.035188994,12.0
2700,0.035599037,12.0
2800,0.036978281,12.0
2900,0.038318194,12.0
3000,0.03868847,12.0
3100,0.039037876,12.0
3200,0.039424527,12.0
3300,0.039773613,15.0
3400,0.040143691,15.0
3500,0.040841435,15.0
3600,0.041249599,15.0
3700,0.041591152,16.0
3800,0.041886532,18.0
3900,0.042163683,18.0
4000,0.042474293,18.0
4100,0.042776101,18.0
4200,0.043053255,18.0
4300,0.047537383,18.0
4400,0.04785341,18.0
4500,0.0481584,18.0
4600,0.048451886,20.0
4700,0.04875878,20.0
4800,0.049024497,20.0
4900,0.049356519,20.0
5000,0.049648151,20.0
5100,0.049926041,23.0
5200,0.050192472,23.0
5300,0.050460394,23.0
5400,0.050797092,23.0
5500,0.051136006,26.0
5600,0.051872732,26.0
5700,0.052282409,26.0
5800,0.052597112,27.0
5900,0.052876752,27.0
6000,0.053181134,29.0
6100,0.053521411,29.0
6200,0.053789764,29.0
6300,0.054077503,29.0
6400,0.054445312,29.0
6500,0.05470778,29.0
6600,0.055018183,29.0
6700,0.055319494,29.0
6800,0.05558607,31.0
6900,0.055872461,31.0
7000,0.056997412,33.0
7100,0.057482206,33.0
7200,0.057782246,33.0
7300,0.058079075,35.0
7400,0.059925819,35.0
7500,0.060243216,35.0
7600,0.060550196,35.0
7700,0.060822604,37.0
7800,0.061078899,38.0
7900,0.061349301,38.0
8000,0.061627151,38.0
8100,0.069261809,38.0
8200,0.069646537,38.0
8300,0.069950924,38.0
8400,0.070254797,39.0
8500,0.070525562,39.0
8600,0.070845844,39.0
8700,0.07137079,39.0
8800,0.071683094,39.0
8900,0.071947713,44.0
9000,0.072219714,47.0
9100,0.072550173,51.0
9200,0.072823639,51.0
9300,0.073098802,51.0
9400,0.074548045,51.0
9500,0.078953923,51.0
9600,0.086134957,51.0
9700,0.086567457,51.0
9800,0.086848775,53.0
9900,0.087135957,53.0
10000,0.091130414,53.0
10100,0.091499441,53.0
10200,0.091804997,53.0
10300,0.092101833,54.0
10400,0.09237137,54.0
10500,0.092638019,54.0
10600,0.093925552,54.0
10700,0.094196654,55.0
10800,0.094443494,55.0
10900,0.094698614,57.0
11000,0.096522121,57.0
11100,0.09679098,57.0
11200,0.097042162,57.0
11300,0.097316903,59.0
11400,0.097536085,62.0
11500,0.097771741,62.0
11600,0.098001894,64.0
11700,0.098310767,64.0
11800,0.09861416,65.0
11900,0.09886467,65.0
12000,0.099098831,65.0
12100,0.099365934,65.0
12200,0.099592486,65.0
12300,0.099882537,66.0
12400,0.100175233,66.0
12500,0.100393562,66.0
12600,0.100607494,66.0
12700,0.10398201,66.0
12800,0.104360847,66.0
12900,0.104675437,66.0
13000,0.104935914,68.0
13100,0.105193957,68.0
13200,0.105423255,68.0
13300,0.105646919,68.0
13400,0.105901563,68.0
13500,0.106162503,68.0
13600,0.106385336,69.0
13700,0.106639294,69.0
13800,0.106884081,69.0
13900,0.107116701,70.0
14000,0.107392892,74.0
14100,0.107691252,74.0
14200,0.107931393,74.0
14300,0.108481401,74.0
14400,0.108743527,74.0
14500,0.109001752,74.0
14600,0.109253494,74.0
14700,0.110543525,79.0
14800,0.110839673,79.0
14900,0.111116917,79.0
15000,0.111339097,79.0
15100,0.111551645,79.0
15200,0.1118279,79.0
15300,0.112053891,79.0
15400,0.1122882,79.0
15500,0.112516992,79.0
15600,0.112752719,79.0
15700,0.113000141,82.0
15800,0.113272819,82.0
15900,0.113525282,82.0
16000,0.113762297,82.0
16100,0.113991035,82.0
16200,0.11422496,82.0
16300,0.114478461,82.0
16400,0.114772277,85.0
16500,0.115048764,86.0
16600,0.115281887,86.0
16700,0.115510891,86.0
16800,0.11680879,87.0
16900,0.117098099,88.0
17000,0.117333335,90.0
17100,0.117616814,90.0
17200,0.117855301,90.0
17300,0.118168122,91.0
17400,0.118442684,91.0
17500,0.118743421,92.0
17600,0.118996512,92.0
17700,0.119254256,93.0
17800,0.119481703,94.0
17900,0.119732811,94.0
18000,0.120001453,94.0
18100,0.120223371,94.0
18200,0.120772846,94.0
18300,0.121053809,94.0
18400,0.121282992,94.0
18500,0.12150251,94.0
18600,0.122745799,94.0
18700,0.124010153,94.0
18800,0.124281086,94.0
18900,0.136203452,94.0
19000,0.136357154,94.0
19100,0.136467689,98.0
19200,0.136684536,98.0
19300,0.136810543,98.0
19400,0.137026969,98.0
19500,0.137292112,102.0
19600,0.139451973,102.0
19700,0.140387977,102.0
19800,0.140863319,102.0
19900,0.141424203,102.0
20000,0.141520755,107.0
20100,0.141611663,107.0
20200,0.141847612,107.0
20300,0.142557557,107.0
20400,0.142828182,109.0
20500,0.14306634,109.0
20600,0.143189551,110.0
20700,0.143281221,110.0
20800,0.143368524,110.0
20900,0.143459001,110.0
21000,0.143547551,110.0
21100,0.143631052,110.0
21200,0.143719497,110.0
21300,0.143822117,110.0
21400,0.14391832,110.0
21500,0.144005173,110.0
21600,0.144102175,116.0
21700,0.144192259,116.0
21800,0.144389057,116.0
21900,0.144476095,116.0
22000,0.144553093,116.0
22100,0.144634414,116.0
22200,0.144714993,116.0
22300,0.144793286,116.0
22400,0.144879772,119.0
22500,0.14496894,119.0
22600,0.145120041,119.0
22700,0.145348032,120.0
22800,0.145475194,120.0
22900,0.145579341,120.0
23000,0.145677697,120.0
23100,0.14576311,120.0
23200,0.145847994,120.0
23300,0.14594493,120.0
23400,0.146035517,120.0
23500,0.146128881,124.0
23600,0.146225219,124.0
23700,0.146318352,124.0
23800,0.146406136,126.0
23900,0.146495443,126.0
24000,0.146581611,126.0
24100,0.146676034,126.0
24200,0.146762652,126.0
24300,0.146851103,126.0
24400,0.14697219,126.0
24500,0.14706675,127.0
24600,0.147166732,127.0
24700,0.147251289,127.0
24800,0.147333603,127.0
24900,0.147414996,127.0
25000,0.147495295,127.0
25100,0.147578137,127.0
25200,0.147688633,127.0
25300,0.147778417,132.0
