iteration number, training time, fitness
0,2.16121E-4,1.0
100,0.014098005,0.0
200,0.014301709,2.0
300,0.014595165,1.0
400,0.015114358,1.0
500,0.015539399,2.0
600,0.015698372,2.0
700,0.018802205,2.0
800,0.019136689,2.0
900,0.019429859,2.0
1000,0.019829557,2.0
1100,0.020129261,2.0
1200,0.020385547,3.0
1300,0.02066871,3.0
1400,0.020931285,3.0
1500,0.021153362,3.0
1600,0.021618084,5.0
1700,0.021748503,5.0
1800,0.021933404,5.0
1900,0.022031964,5.0
2000,0.022234392,7.0
2100,0.02244555,7.0
2200,0.022672598,7.0
2300,0.022893122,7.0
2400,0.023042758,7.0
2500,0.023130749,8.0
2600,0.023225109,8.0
2700,0.023439121,9.0
2800,0.02378382,12.0
2900,0.02408839,12.0
3000,0.024352829,13.0
3100,0.027018415,13.0
3200,0.027396674,13.0
3300,0.029582364,13.0
3400,0.029731797,13.0
3500,0.029818871,13.0
3600,0.029940354,16.0
3700,0.030017747,16.0
3800,0.030241085,16.0
3900,0.030464258,17.0
4000,0.03054476,17.0
4100,0.030620694,17.0
4200,0.030699295,17.0
4300,0.032234857,17.0
4400,0.032521135,19.0
4500,0.033795019,19.0
4600,0.034234964,20.0
4700,0.034706548,21.0
4800,0.035110727,21.0
4900,0.036005339,23.0
5000,0.036303577,24.0
5100,0.036567244,24.0
5200,0.036799062,24.0
5300,0.037059988,24.0
5400,0.037335774,24.0
5500,0.037693629,24.0
5600,0.037926115,24.0
5700,0.038048009,24.0
5800,0.038141114,24.0
5900,0.038221483,26.0
6000,0.038303323,26.0
6100,0.038387295,30.0
6200,0.038466583,30.0
6300,0.038650479,35.0
6400,0.038745497,35.0
6500,0.03883898,35.0
6600,0.038928735,35.0
6700,0.03902557,36.0
6800,0.039109534,37.0
6900,0.039197713,37.0
7000,0.039279354,37.0
7100,0.039366133,37.0
7200,0.039450212,40.0
7300,0.039547562,44.0
7400,0.039636357,44.0
7500,0.03972787,46.0
7600,0.03988153,46.0
7700,0.039973478,46.0
7800,0.040059801,46.0
7900,0.040145254,46.0
8000,0.040305594,46.0
8100,0.040404811,48.0
8200,0.040504751,49.0
8300,0.042982227,49.0
8400,0.043347098,49.0
8500,0.045929165,49.0
8600,0.046067478,50.0
8700,0.05277565,50.0
8800,0.099209735,50.0
8900,0.099331174,50.0
9000,0.09943198,50.0
9100,0.099525438,50.0
9200,0.099621164,51.0
9300,0.099714435,51.0
9400,0.099810317,51.0
9500,0.099896612,51.0
9600,0.099986489,51.0
9700,0.10007404,51.0
9800,0.100163137,51.0
9900,0.100249965,51.0
10000,0.100336204,51.0
10100,0.100420014,51.0
10200,0.100502034,52.0
10300,0.100584047,52.0
10400,0.100665618,52.0
10500,0.100744815,58.0
10600,0.100839888,59.0
10700,0.100926351,59.0
10800,0.103051611,59.0
10900,0.103178912,59.0
11000,0.103272477,59.0
11100,0.103357089,59.0
11200,0.103434928,60.0
11300,0.103517411,60.0
11400,0.103608973,60.0
11500,0.103694492,62.0
11600,0.106038177,62.0
11700,0.106160635,62.0
11800,0.106252594,62.0
11900,0.10633978,63.0
12000,0.106436693,63.0
12100,0.106525752,63.0
12200,0.106620721,64.0
12300,0.106714369,64.0
12400,0.106812288,64.0
12500,0.106901161,66.0
12600,0.106993417,66.0
12700,0.107086198,67.0
12800,0.107178712,67.0
12900,0.107270171,67.0
13000,0.107366178,67.0
13100,0.107453617,67.0
13200,0.107541172,67.0
13300,0.107629614,67.0
13400,0.107718232,67.0
13500,0.107809907,67.0
13600,0.107888491,70.0
13700,0.107979754,76.0
13800,0.108063631,76.0
13900,0.108149092,76.0
14000,0.10823377,76.0
14100,0.108320048,76.0
14200,0.108404392,77.0
14300,0.153631071,77.0
14400,0.153774327,77.0
14500,0.153895639,78.0
14600,0.154010737,78.0
14700,0.154133094,78.0
14800,0.154238123,78.0
14900,0.154351674,78.0
15000,0.154458478,78.0
15100,0.154564458,78.0
15200,0.154662094,78.0
15300,0.15477239,78.0
15400,0.154871157,78.0
15500,0.154975778,78.0
15600,0.155087752,79.0
15700,0.155209402,79.0
15800,0.155335232,81.0
15900,0.155455955,81.0
16000,0.155572083,81.0
16100,0.155682014,82.0
16200,0.155798457,86.0
16300,0.155944651,86.0
16400,0.156068355,86.0
16500,0.156187844,86.0
16600,0.156294829,90.0
16700,0.156416668,90.0
16800,0.156550599,90.0
16900,0.156688441,91.0
17000,0.156809507,93.0
17100,0.15693511,93.0
17200,0.157055573,93.0
17300,0.157350911,93.0
17400,0.160485338,93.0
17500,0.161016507,93.0
17600,0.161392917,94.0
17700,0.1634035,94.0
17800,0.163740083,94.0
17900,0.164203884,94.0
18000,0.164329733,94.0
18100,0.164449877,94.0
18200,0.164562441,94.0
18300,0.164666939,94.0
18400,0.164775911,100.0
18500,0.164890848,100.0
18600,0.165005727,100.0
18700,0.165360481,100.0
18800,0.16547845,102.0
18900,0.165677451,104.0
19000,0.165814153,106.0
19100,0.165924247,106.0
19200,0.166047709,106.0
19300,0.166150122,108.0
19400,0.181367499,108.0
19500,0.181632455,108.0
19600,0.181756193,108.0
19700,0.181869365,110.0
19800,0.181998681,110.0
19900,0.18212222,110.0
20000,0.182221717,110.0
20100,0.182330162,110.0
20200,0.182427975,110.0
20300,0.182526642,110.0
20400,0.182629067,111.0
20500,0.182738961,111.0
20600,0.182846169,113.0
20700,0.182957489,113.0
20800,0.183072874,113.0
20900,0.183621119,116.0
21000,0.1838101,116.0
21100,0.183924789,116.0
21200,0.184026427,116.0
21300,0.18412802,118.0
21400,0.184233972,123.0
21500,0.184344579,123.0
21600,0.184445547,123.0
21700,0.184552469,123.0
21800,0.184661121,124.0
21900,0.184778722,124.0
22000,0.18488591,124.0
22100,0.184994999,124.0
22200,0.185106711,124.0
22300,0.185208495,124.0
22400,0.185330698,126.0
22500,0.185474772,126.0
22600,0.1855884,126.0
22700,0.185693627,129.0
22800,0.185797351,129.0
22900,0.186032122,131.0
23000,0.186150015,131.0
23100,0.186255154,133.0
23200,0.186541883,133.0
23300,0.186735203,133.0
23400,0.186843531,133.0
23500,0.18695371,134.0
23600,0.187059191,134.0
23700,0.18717482,134.0
23800,0.187296755,134.0
23900,0.187387443,134.0
24000,0.188113188,136.0
24100,0.188229725,136.0
24200,0.188337043,136.0
24300,0.188452911,138.0
24400,0.188600632,138.0
24500,0.188719378,138.0
24600,0.188843869,138.0
24700,0.188960107,138.0
24800,0.189081537,138.0
24900,0.18920356,138.0
25000,0.189419003,138.0
25100,0.189551078,138.0
25200,0.189666139,138.0
25300,0.189788694,138.0
25400,0.189910913,138.0
25500,0.190024961,138.0
25600,0.190143723,138.0
25700,0.190264642,138.0
25800,0.190376268,138.0
25900,0.190497391,139.0
26000,0.190616275,142.0
26100,0.190739129,142.0
26200,0.190847939,142.0
26300,0.190965735,142.0
26400,0.191087078,142.0
26500,0.191203414,142.0
26600,0.191331237,143.0
26700,0.19475554,144.0
26800,0.194989074,144.0
26900,0.195131403,144.0
27000,0.196056448,144.0
27100,0.196199323,146.0
27200,0.196319571,146.0
27300,0.196440499,146.0
27400,0.196561934,146.0
27500,0.196682598,146.0
27600,0.196797709,146.0
27700,0.196903998,146.0
27800,0.197245588,146.0
27900,0.197608837,146.0
28000,0.197729351,146.0
28100,0.197856912,146.0
28200,0.197975991,149.0
28300,0.198094728,149.0
28400,0.198215654,151.0
28500,0.198339373,151.0
28600,0.198466921,151.0
28700,0.19858936,151.0
28800,0.198709953,154.0
28900,0.198831734,155.0
29000,0.198952282,155.0
29100,0.199070549,155.0
29200,0.199190843,155.0
29300,0.19930296,155.0
29400,0.199421469,155.0
29500,0.199544572,156.0
29600,0.199664378,156.0
29700,0.199774247,156.0
29800,0.19988869,156.0
29900,0.200014324,156.0
30000,0.200142271,156.0
30100,0.200269523,158.0
30200,0.200396395,158.0
30300,0.200504752,158.0
30400,0.200619175,158.0
30500,0.200736235,158.0
30600,0.20085679,159.0
30700,0.200979334,159.0
30800,0.20110344,160.0
30900,0.20123702,165.0
31000,0.201358451,165.0
31100,0.201494208,165.0
31200,0.201634531,165.0
31300,0.201762149,165.0
31400,0.201890299,165.0
31500,0.20202265,165.0
31600,0.202152405,165.0
31700,0.202280137,165.0
31800,0.202402653,175.0
31900,0.202524008,176.0
32000,0.202655049,176.0
32100,0.202802363,176.0
32200,0.202925319,176.0
32300,0.203060887,176.0
32400,0.203188257,176.0
32500,0.203327699,176.0
32600,0.203462294,177.0
32700,0.203592842,177.0
32800,0.203726481,177.0
32900,0.203857882,177.0
33000,0.203988009,177.0
33100,0.204117188,177.0
33200,0.204250888,177.0
33300,0.204387772,177.0
33400,0.204513289,177.0
33500,0.204646402,177.0
33600,0.204774157,177.0
33700,0.204898443,177.0
33800,0.205027647,177.0
33900,0.205161162,177.0
34000,0.205306295,177.0
34100,0.205447715,177.0
34200,0.20557971,177.0
34300,0.205701534,177.0
34400,0.205839751,177.0
34500,0.205965149,177.0
34600,0.206105307,180.0
34700,0.206242413,181.0
34800,0.206373793,181.0
34900,0.206506274,181.0
35000,0.206642087,181.0
35100,0.206763532,181.0
35200,0.206890814,185.0
35300,0.207016767,186.0
35400,0.207147001,188.0
35500,0.207268347,188.0
35600,0.319994242,188.0
35700,0.320376534,188.0
35800,0.320677095,190.0
35900,0.321009167,195.0
36000,0.32129297,195.0
36100,0.321595285,195.0
36200,0.321866697,195.0
36300,0.322186098,195.0
36400,0.323272335,196.0
36500,0.323638975,196.0
36600,0.323830838,198.0
36700,0.324007572,198.0
36800,0.326819008,198.0
36900,0.327274234,198.0
37000,0.327602082,198.0
37100,0.327895275,198.0
37200,0.329198811,198.0
37300,0.329394108,199.0
37400,0.3298025,199.0
37500,0.330954048,200.0
37600,0.33114358,200.0
37700,0.331323308,200.0
37800,0.331496967,200.0
37900,0.33166998,200.0
38000,0.331850331,200.0
