iteration number, training time, fitness
0,0.020373272,1.79
100,0.304910129,14.0
200,0.374396025,17.015
300,0.47103468,18.0
400,0.56779043,19.365
500,0.6981018,19.945
600,0.731315126,20.0
700,0.763941019,20.22
800,0.90119033,22.0
900,1.176942019,22.0
1000,1.420251123,23.71
1100,1.677828297,23.735
1200,1.846699859,24.015
1300,1.910754214,23.95
1400,1.98278745,24.02
1500,2.031819819,23.915
1600,2.092390817,23.97
1700,2.172968057,24.025
1800,2.241970362,24.0
1900,2.36029406,23.885
2000,2.426003651,23.9
2100,2.485665789,23.995
2200,2.526721805,23.895
2300,2.572708029,23.93
2400,2.671908888,24.0
2500,2.706417145,23.965
2600,2.768440141,24.04
2700,2.991073808,24.715
2800,3.148561443,24.91
2900,3.360221255,24.84
3000,3.50659437,24.95
3100,3.671885605,24.92
3200,3.831186249,24.98
3300,3.986679013,30.49
3400,4.106899138,31.93
3500,4.15174833,32.835
3600,4.209669779,37.91
3700,4.25305253,37.86
3800,4.318421831,37.86
3900,4.371370602,37.79
4000,4.491888614,37.955
4100,4.52533952,37.8
4200,4.568833006,37.995
4300,4.623270721,37.76
4400,4.668738306,37.86
4500,4.736761151,37.855
4600,4.870775619,37.73
4700,5.019759422,38.0
4800,5.668602583,37.95
4900,5.836024279,38.0
5000,6.659337256,38.0
5100,6.893457302,38.63
5200,7.006474549,39.15
5300,7.578114572,42.55
5400,7.741616362,42.685
5500,7.829404609,42.885
5600,8.035357944,42.715
5700,8.203263125,43.12
5800,8.376668844,47.505
5900,8.467209504,47.855
6000,8.562443452,48.35
6100,8.61164642,48.615
6200,8.738841852,48.71
6300,8.793204725,49.035
6400,8.878236335,50.66
6500,8.900391185,52.635
6600,9.156805295,52.675
6700,9.386237381,52.495
6800,9.54564552,52.925
6900,9.706198333,54.03
7000,9.819054668,54.345
7100,9.841855903,54.77
7200,9.876541572,54.525
7300,9.914319731,54.945
7400,9.96736289,54.69
7500,10.005412387,55.525
7600,10.045572093,54.96
7700,10.07775782,55.95
7800,10.103087414,55.4
7900,10.147967829,55.82
8000,10.181447188,55.61
8100,10.205683894,55.34
8200,10.231013904,56.395
8300,10.251852301,56.79
8400,10.298684299,58.625
8500,10.325132776,62.055
8600,10.351319226,63.82
8700,10.391665413,63.665
8800,10.691225416,63.525
8900,10.720679894,63.65
9000,10.761373864,63.335
9100,10.815199845,62.45
9200,10.900140346,63.26
9300,11.027616225,63.44
9400,11.049763927,62.135
9500,11.144113055,63.72
9600,11.181084065,63.495
9700,11.220812613,64.175
9800,11.282411622,64.495
9900,11.392020487,65.245
10000,11.519341305,66.59
10100,11.558510015,66.22
10200,11.631183055,66.75
10300,11.654941684,66.755
10400,11.67339679,66.185
10500,11.717860043,68.865
10600,11.996011907,69.68
10700,12.088136834,69.55
10800,12.107060946,69.74
10900,12.136371,69.35
11000,12.157739566,71.605
11100,12.178807412,77.73
11200,12.309681853,77.99
11300,12.33292934,78.475
11400,12.554997541,78.32
11500,12.642478991,78.485
11600,12.674048689,78.155
11700,12.830990897,77.995
11800,12.993859529,78.245
11900,13.040511073,78.035
12000,13.074751137,78.23
12100,13.136927173,78.555
12200,13.175968657,78.415
12300,13.296617026,78.63
12400,13.412525485,78.03
12500,13.531614297,77.735
12600,13.569926863,77.96
12700,13.59819878,78.34
12800,13.763314947,78.47
12900,13.793685615,79.735
13000,13.873235177,79.27
13100,13.897710811,80.325
13200,13.922368352,80.195
13300,14.116836985,80.545
13400,14.153558528,79.96
13500,14.19353619,80.515
13600,14.296078802,80.68
13700,14.388338541,80.16
13800,14.425385605,80.255
13900,14.546904775,79.61
14000,14.60567911,79.965
14100,14.74905111,80.465
14200,14.78899994,79.98
14300,14.807197308,80.3
14400,14.879248041,79.795
14500,14.897591041,80.25
14600,14.929698131,81.0
14700,15.17277587,80.525
14800,15.247644599,79.52
14900,15.295367987,80.22
15000,15.337406546,79.305
15100,15.394048386,80.59
15200,15.416536123,80.02
15300,15.615764805,79.635
15400,15.663054279,80.475
15500,15.694394789,79.86
15600,15.723366512,80.625
15700,15.760208467,80.73
15800,15.792315986,80.67
15900,15.843449532,80.2
16000,15.889845937,80.025
16100,15.933881029,80.845
16200,15.964385266,79.2
16300,15.997755662,80.145
16400,16.020753662,80.66
16500,16.070150963,80.325
16600,16.129458787,79.665
16700,16.164615044,79.775
16800,16.224802963,79.78
16900,16.277381487,80.055
17000,16.31047001,80.485
17100,16.361353088,79.715
17200,16.392961728,80.24
17300,16.447015244,79.395
17400,16.502000447,80.345
17500,16.528776063,80.635
17600,16.559982092,80.39
17700,16.599801631,80.08
17800,16.636300123,79.545
17900,16.766818059,80.81
18000,16.832334217,80.13
18100,16.88128514,80.61
18200,16.910920149,81.93
18300,16.943433724,81.085
18400,16.98722147,81.535
18500,17.027138457,80.565
18600,17.047443699,80.43
18700,17.096848242,81.045
18800,17.147004963,80.89
18900,17.231916184,82.18
19000,17.3037042,81.765
19100,17.331578802,81.01
19200,17.37318055,81.475
19300,17.401801858,81.3
19400,17.436506294,81.625
19500,17.469838441,82.67
19600,17.511799921,82.32
19700,17.538139989,82.34
19800,17.587774149,82.565
19900,17.61365205,82.265
20000,17.656685483,82.205
20100,17.835339533,82.405
20200,17.885284971,82.365
20300,17.933009741,82.085
20400,17.973160093,82.21
20500,18.028907043,82.315
20600,18.056190849,81.88
20700,18.109040573,82.1
20800,18.183283403,82.82
20900,18.257607501,82.53
21000,18.31413309,82.005
21100,18.37148401,81.75
21200,18.534902399,81.915
21300,18.644595364,81.675
21400,18.777334343,82.26
21500,18.887021019,82.28
21600,19.134240616,82.8
21700,19.273968879,82.565
21800,19.299988852,81.765
21900,19.439225541,81.88
22000,19.516100961,82.49
22100,19.570425456,82.665
22200,19.679038181,81.925
22300,19.754891511,81.23
22400,19.781890817,82.69
22500,20.105608559,81.67
22600,20.272375927,81.205
22700,20.390075172,82.235
22800,20.510615402,81.4
22900,20.572110306,82.21
23000,20.675911647,82.44
23100,20.729774174,82.435
23200,20.75575849,81.5
23300,20.780469495,81.8
23400,20.849969943,82.395
23500,20.890957612,82.07
23600,21.028847065,81.965
23700,21.065717448,82.4
23800,21.099895333,82.21
23900,21.143082285,82.84
24000,21.203882376,80.92
24100,21.237956498,81.115
24200,21.300979545,81.665
24300,21.354676936,82.74
24400,21.476505147,82.295
24500,21.505173804,82.62
24600,21.546241567,82.52
24700,21.680854232,82.48
24800,21.770965032,82.145
24900,21.813281912,82.115
25000,21.84005804,82.905
25100,21.873454607,81.95
25200,21.91418119,81.55
25300,21.975883883,81.84
25400,22.009733952,81.695
25500,22.045991758,81.645
25600,22.065982279,81.37
25700,22.116821581,82.48
25800,22.156885817,82.235
25900,22.216831352,82.725
26000,22.345291438,82.84
26100,22.380202453,83.395
26200,22.440893482,83.445
26300,22.527084447,83.235
26400,22.593391552,82.22
26500,22.697878567,82.81
26600,22.776640268,82.92
26700,22.838994024,82.295
26800,22.926725684,83.44
26900,22.981310931,82.675
27000,23.033187748,82.59
27100,23.106964543,83.415
27200,23.164778711,83.255
27300,23.268631667,83.33
27400,23.348934095,83.245
27500,23.39147417,82.73
27600,23.509656219,83.635
27700,23.528298352,83.185
27800,23.648691642,83.95
27900,23.715059615,83.235
28000,23.738370147,82.315
28100,23.79315092,83.57
28200,24.002884346,82.515
28300,24.398629842,82.92
28400,24.422573609,82.56
28500,24.5426132,82.945
28600,24.581763191,83.69
28700,24.641467238,82.5
28800,24.693146647,83.355
28900,24.732937011,83.23
29000,24.785421008,84.0
29100,24.888880468,82.51
29200,24.929416131,84.16
29300,24.963772647,83.61
29400,25.013769727,86.775
29500,25.040176723,86.52
29600,25.067836497,86.73
29700,25.14726065,88.845
29800,25.200772973,88.33
29900,25.25944384,88.725
30000,25.324908991,87.69
30100,25.39229679,87.775
30200,25.42597377,87.74
30300,25.461237741,87.205
30400,25.530114803,87.835
30500,25.596019505,88.245
30600,25.68251673,87.99
30700,25.72324047,87.73
30800,25.754794048,88.795
30900,25.826862682,88.87
31000,25.888825128,88.965
31100,25.936483099,89.23
31200,25.996329656,89.015
31300,26.019424198,89.615
31400,26.038135457,90.305
31500,26.067074699,89.46
31600,26.123642722,89.51
31700,26.158676494,89.97
31800,26.200548576,88.73
31900,26.25983017,89.63
32000,26.291636497,90.565
32100,26.320218285,94.825
32200,26.372159871,96.755
32300,26.458708582,95.51
32400,26.483758009,95.705
32500,26.504653748,96.335
32600,26.532375262,95.565
32700,26.577649368,95.745
32800,26.658297417,96.18
32900,26.688575338,96.26
33000,26.725701824,96.505
33100,26.806445669,96.725
33200,26.883844389,97.335
33300,26.952355569,96.425
33400,27.008899616,97.825
33500,27.040867945,97.555
33600,27.063159161,96.56
33700,27.164824759,96.735
33800,27.196375467,97.48
33900,27.246058606,96.145
34000,27.360716212,97.28
34100,27.433204417,96.895
34200,27.487726259,94.94
34300,27.535109307,95.65
34400,27.558927949,96.965
34500,27.584560038,96.215
34600,27.660078221,97.085
34700,27.689918007,97.395
34800,27.806554326,97.635
34900,27.887324179,96.95
35000,27.918856722,96.7
35100,28.012690485,95.79
35200,28.108324764,96.305
35300,28.151758002,97.405
35400,28.182906611,96.725
35500,28.205311967,96.775
35600,28.3324306,99.99
35700,28.402277728,100.66
35800,28.443551412,100.465
35900,28.502828607,99.45
36000,28.566588733,99.39
36100,28.631990214,98.87
36200,28.665913937,99.345
36300,28.707957969,99.365
36400,28.766549893,99.045
36500,28.873112603,99.355
36600,28.914590526,99.73
36700,28.949212974,98.99
36800,29.010519612,100.29
36900,29.098799174,99.74
37000,29.137546329,99.945
37100,29.20788224,100.495
37200,29.272593933,100.49
37300,29.382889831,100.395
37400,29.406623001,101.305
37500,29.510024494,99.915
37600,29.533360612,100.695
37700,29.560269602,100.9
37800,29.645662524,100.105
37900,29.687939964,101.135
38000,29.718611407,100.38
38100,29.767130059,100.17
38200,29.79331004,102.425
38300,29.849043679,101.53
38400,29.925947854,101.485
38500,30.023276951,102.115
38600,30.05848488,100.57
38700,30.106302544,101.685
38800,30.173719222,102.685
38900,30.195361161,101.78
39000,30.214869561,102.585
39100,30.250147791,101.905
39200,30.2706885,101.12
39300,30.290888909,101.3
39400,30.308669281,101.255
39500,30.325571322,102.595
39600,30.344691858,102.16
39700,30.361695454,102.195
39800,30.385435529,102.62
39900,30.416801448,102.495
40000,30.456836258,100.3
40100,30.475194048,103.645
40200,30.50910088,102.51
40300,30.529208085,103.17
40400,30.551369256,102.805
40500,30.571330509,102.96
40600,30.600926252,102.325
40700,30.620633249,102.195
40800,30.645139896,102.425
40900,30.716272678,101.675
41000,30.770016618,102.215
41100,30.80726232,103.2
41200,30.843173534,101.44
41300,30.865968509,102.74
41400,30.891111899,103.265
41500,30.91658748,103.495
41600,30.935330449,103.555
41700,30.969657444,103.16
41800,31.010761598,104.0
41900,31.0410397,103.36
42000,31.084817343,104.475
42100,31.110662134,103.855
42200,31.157049604,102.555
42300,31.198364693,104.035
42400,31.334519144,103.75
42500,31.361109019,103.575
42600,31.399837243,104.245
42700,31.440965625,103.48
42800,31.659315517,103.92
42900,31.728780962,103.93
43000,31.780408297,103.925
43100,31.805078326,104.605
43200,31.840361966,103.615
43300,31.868673543,105.63
43400,31.933131717,104.69
43500,31.966957829,104.33
43600,32.02162309,104.645
43700,32.046632423,105.505
43800,32.169029773,104.74
43900,32.221264204,104.58
44000,32.270156734,104.415
44100,32.303734351,104.335
44200,32.362913171,104.525
44300,32.448087537,104.65
44400,32.501343054,104.195
44500,32.542550606,104.345
44600,32.590686979,104.92
44700,32.625898705,104.57
44800,32.656870582,103.815
44900,32.716693939,104.655
45000,32.760271137,104.36
45100,32.813149551,104.605
45200,32.843876296,104.98
45300,32.89295254,105.31
45400,32.917257077,105.04
45500,32.974119773,105.86
45600,33.022885986,104.745
45700,33.056870144,105.545
45800,33.115354977,105.615
45900,33.16968078,105.0
46000,33.266735856,105.08
46100,33.299695904,105.41
46200,33.35532027,104.925
46300,33.393154905,106.645
46400,33.410769573,105.585
46500,33.44084491,105.555
46600,33.479443548,105.745
46700,33.505212205,106.12
46800,33.525756203,105.695
46900,33.55260512,106.28
47000,33.590949462,106.49
47100,33.634203665,106.47
47200,33.67108824,107.025
47300,33.695719186,106.705
47400,33.722268801,106.08
47500,33.745617363,105.725
47600,33.764416341,106.845
47700,33.796699337,106.645
47800,33.833267131,106.735
47900,33.855435377,106.295
48000,33.882184444,106.24
48100,33.917984784,105.625
48200,33.951439372,106.44
48300,34.041742614,105.535
48400,34.083635762,105.97
48500,34.122263945,106.555
48600,34.153315699,106.955
48700,34.201886456,107.68
48800,34.232366917,106.46
48900,34.265306744,106.89
49000,34.300115223,106.985
49100,34.349432493,107.18
49200,34.375619643,106.17
49300,34.448780458,106.665
49400,34.478905924,104.97
49500,34.512768647,107.185
49600,34.582689088,106.585
49700,34.615599318,106.49
49800,34.640542168,106.825
49900,34.661407388,105.695
50000,34.708061841,107.045
50100,34.740340347,105.72
50200,34.792670028,106.145
50300,34.821889642,106.72
50400,34.931670587,105.37
50500,34.995236979,107.375
50600,35.033755535,106.64
50700,35.068712098,106.775
50800,35.103734969,106.18
50900,35.156409862,106.98
51000,35.195950413,107.58
51100,35.28376985,106.13
51200,35.32267543,106.87
51300,35.405230568,106.455
51400,35.442993572,107.1
51500,35.529383333,106.275
51600,35.602555339,107.035
51700,35.717213287,109.345
51800,35.81963144,108.215
51900,35.863925968,108.845
52000,35.899929894,109.365
52100,35.985407722,109.61
52200,36.061790745,107.33
52300,36.092745785,107.725
52400,36.183925005,108.905
52500,36.275328564,108.37
52600,36.30491686,109.18
52700,36.407612891,106.88
52800,36.435007663,108.695
52900,36.477990295,108.32
53000,36.545199935,108.67
53100,36.592398637,107.6
53200,36.701814906,108.095
53300,36.818704626,109.345
53400,36.858624055,108.74
53500,37.019951685,109.32
53600,37.09851491,109.1
53700,37.164346844,109.585
53800,37.245683448,108.765
53900,37.286943248,109.59
54000,37.346005568,107.545
54100,37.377996947,108.56
54200,37.403663685,107.925
54300,37.459398549,108.96
54400,37.524403417,108.955
54500,37.58747902,108.785
54600,37.690320945,108.995
54700,37.71435538,108.575
54800,37.75136926,108.97
54900,37.814584558,108.605
55000,37.89259347,110.865
55100,37.915504687,111.83
55200,37.954080976,112.14
55300,38.020090412,108.225
55400,38.065933161,111.36
55500,38.147736329,111.605
55600,38.175125921,109.86
55700,38.21884195,111.545
55800,38.279481766,111.4
55900,38.347440722,112.365
56000,38.422334325,111.75
56100,38.451888977,111.62
56200,38.552108861,112.27
56300,38.592275618,111.895
56400,38.617614574,110.395
56500,38.644206204,111.41
56600,38.676811454,112.06
56700,38.745841437,111.875
56800,38.797520223,111.185
56900,38.87015241,112.045
57000,38.905427008,111.625
57100,38.98100049,112.19
57200,39.050278095,112.07
57300,39.09899414,111.3
57400,39.153499175,111.36
57500,39.17776222,111.745
57600,39.22173031,111.39
57700,39.326385582,111.925
57800,39.383104199,110.705
57900,39.487228758,110.59
58000,39.53134023,110.815
58100,39.577426255,109.285
58200,39.613024505,111.265
58300,39.674716207,112.285
58400,39.711913402,111.07
58500,39.759468849,111.86
58600,39.795647988,111.595
58700,39.816994999,111.44
58800,39.842287786,111.325
58900,39.88051258,111.825
59000,39.951153719,112.155
59100,40.017035298,111.705
59200,40.067572081,110.845
59300,40.089255294,112.465
59400,40.138079529,113.335
59500,40.182530369,112.5
59600,40.227525339,112.345
59700,40.277717264,112.94
59800,40.309391607,112.195
59900,40.398130893,110.96
60000,40.428077899,113.325
60100,40.505529406,112.69
60200,40.549530267,112.755
60300,40.595293598,112.755
60400,40.6605263,111.92
60500,40.687251023,112.71
60600,40.763561279,112.815
60700,40.806311607,113.005
60800,40.832573627,114.925
60900,40.881188184,114.575
61000,40.911522584,112.02
61100,40.93227833,113.59
61200,41.006133424,113.31
61300,41.054778974,114.2
61400,41.144872369,114.27
61500,41.16864978,115.615
61600,41.194585868,118.705
61700,41.228185812,119.56
61800,41.258806287,120.705
61900,41.347713618,120.135
62000,41.465839142,120.685
62100,41.495799518,120.99
62200,41.521706289,120.485
62300,41.548407978,121.425
62400,41.64282177,119.25
62500,41.697745619,121.845
62600,41.733077292,119.795
62700,41.784780199,121.535
62800,41.835481923,125.375
62900,41.864522224,125.155
63000,41.896671222,123.7
63100,41.953246064,123.82
63200,42.020941923,124.72
63300,42.042315967,125.185
63400,42.064690283,124.23
63500,42.084438699,125.3
63600,42.1066534,126.41
63700,42.147948092,125.43
63800,42.203999422,125.7
63900,42.238458408,125.555
64000,42.264275642,125.61
64100,42.296825013,125.22
64200,42.332417668,124.82
64300,42.362458264,124.975
64400,42.401402179,124.535
64500,42.443528854,125.575
64600,42.470417319,124.48
64700,42.552980968,125.67
64800,42.596841702,125.355
64900,42.620198646,125.385
65000,42.641852888,126.095
65100,42.671846481,126.445
65200,42.748631785,124.94
65300,42.774985539,124.04
65400,42.799760976,125.435
