iteration number, training time, fitness
0,8.97305E-4,3.0
100,0.002730463,0.0
200,0.003676736,1.0
300,0.005294086,1.0
400,0.005991604,2.0
500,0.006249891,2.0
600,0.006468402,5.0
700,0.006679126,5.0
800,0.029228054,5.0
900,0.029525811,6.0
1000,0.069312286,6.0
1100,0.069781847,7.0
1200,0.070070183,7.0
1300,0.070333787,7.0
1400,0.070900106,7.0
1500,0.071003244,8.0
1600,0.071076894,8.0
1700,0.07115119,8.0
1800,0.071227612,9.0
1900,0.07129432,9.0
2000,0.071361448,13.0
2100,0.071431218,13.0
2200,0.071502046,13.0
2300,0.071573525,13.0
2400,0.071645514,18.0
2500,0.071719997,18.0
2600,0.071789186,18.0
2700,0.07185668,18.0
2800,0.071924518,18.0
2900,0.071992974,21.0
3000,0.07206064,22.0
3100,0.072170313,25.0
3200,0.072237068,25.0
3300,0.072311706,25.0
3400,0.072383095,25.0
3500,0.072451095,26.0
3600,0.072515723,26.0
3700,0.072585805,26.0
3800,0.072656452,26.0
3900,0.072730733,26.0
4000,0.072801017,26.0
4100,0.072878467,26.0
4200,0.072952987,26.0
4300,0.073026553,29.0
4400,0.073100067,29.0
4500,0.073170434,30.0
4600,0.073241753,30.0
4700,0.073311856,30.0
4800,0.07338157,30.0
4900,0.07346166,30.0
5000,0.073527874,30.0
5100,0.073600553,31.0
5200,0.080490756,31.0
5300,0.08067635,31.0
5400,0.08080223,31.0
5500,0.080918867,35.0
5600,0.081317321,35.0
5700,0.081395795,35.0
5800,0.081459813,36.0
5900,0.081534974,36.0
6000,0.081598488,36.0
6100,0.081719815,36.0
6200,0.081795375,38.0
6300,0.081963366,40.0
6400,0.082048875,42.0
6500,0.082557565,42.0
6600,0.082650652,42.0
6700,0.082729362,43.0
6800,0.082807906,44.0
6900,0.082889136,44.0
7000,0.082966367,44.0
7100,0.083041797,44.0
7200,0.08311504,44.0
7300,0.083204528,44.0
7400,0.08327806,44.0
7500,0.083349432,44.0
7600,0.083426548,44.0
7700,0.083497506,44.0
7800,0.083565226,44.0
7900,0.083891056,44.0
8000,0.083965757,44.0
8100,0.084043535,44.0
8200,0.084115444,47.0
8300,0.084187711,47.0
8400,0.084256644,47.0
8500,0.0843295,49.0
8600,0.084402576,49.0
8700,0.084473485,49.0
8800,0.085324576,49.0
8900,0.085428213,49.0
9000,0.085508986,49.0
9100,0.08559482,50.0
9200,0.085675536,52.0
9300,0.085751195,60.0
9400,0.085826348,60.0
9500,0.085907074,60.0
9600,0.085981655,60.0
9700,0.086054211,64.0
9800,0.086130834,64.0
9900,0.086210361,64.0
10000,0.086292397,64.0
10100,0.086366993,64.0
10200,0.086439694,64.0
10300,0.086514936,64.0
10400,0.08658654,68.0
10500,0.086661121,69.0
10600,0.086746176,69.0
10700,0.086823395,69.0
10800,0.086897073,69.0
10900,0.086988156,69.0
11000,0.087060467,69.0
11100,0.087130036,69.0
11200,0.087205446,70.0
11300,0.08727831,70.0
11400,0.087361237,70.0
11500,0.087442588,70.0
11600,0.087519908,70.0
11700,0.087594728,74.0
11800,0.088803002,74.0
11900,0.089968967,74.0
12000,0.090058386,75.0
12100,0.090138485,75.0
12200,0.090223316,75.0
12300,0.090437627,75.0
12400,0.090681961,75.0
12500,0.091048666,75.0
12600,0.094141626,75.0
12700,0.094404577,75.0
12800,0.094535634,75.0
12900,0.094617094,75.0
13000,0.102729355,75.0
13100,0.102836923,75.0
13200,0.102916793,75.0
13300,0.102995497,75.0
13400,0.10321413,75.0
13500,0.103293686,76.0
13600,0.103380231,76.0
13700,0.104241161,76.0
13800,0.104521931,76.0
13900,0.104700638,76.0
14000,0.10487448,77.0
14100,0.105274197,77.0
14200,0.10541904,77.0
14300,0.105500873,77.0
14400,0.105591077,77.0
14500,0.105682273,77.0
14600,0.105771915,77.0
14700,0.105870937,77.0
14800,0.105956326,80.0
14900,0.106053085,80.0
15000,0.106153452,80.0
15100,0.106248467,80.0
15200,0.106343997,80.0
15300,0.10642805,80.0
15400,0.106525525,80.0
15500,0.10661378,82.0
15600,0.10671201,82.0
15700,0.106809731,82.0
15800,0.106897272,82.0
15900,0.107136008,83.0
16000,0.107241446,89.0
16100,0.107345408,89.0
16200,0.107442774,89.0
16300,0.107702896,89.0
16400,0.10780817,95.0
16500,0.10791472,96.0
16600,0.108012157,96.0
16700,0.108121328,96.0
16800,0.108225205,96.0
16900,0.10832592,97.0
17000,0.108436366,97.0
17100,0.108545043,97.0
17200,0.108651812,97.0
17300,0.108758606,98.0
17400,0.10887105,98.0
17500,0.108974161,98.0
17600,0.109086644,98.0
17700,0.109197201,98.0
17800,0.109300406,98.0
17900,0.1094138,98.0
18000,0.109520041,98.0
18100,0.109618536,98.0
18200,0.10971664,100.0
18300,0.110211812,100.0
18400,0.110413711,102.0
18500,0.110519891,102.0
18600,0.110627291,102.0
18700,0.110728552,102.0
18800,0.110831292,103.0
18900,0.110936815,103.0
19000,0.111040006,103.0
19100,0.111145067,103.0
19200,0.111240161,103.0
19300,0.111350996,103.0
19400,0.111456641,103.0
19500,0.111559011,103.0
19600,0.111665198,103.0
19700,0.111774578,106.0
19800,0.111888932,106.0
19900,0.112008163,106.0
20000,0.112113797,106.0
20100,0.112218637,106.0
20200,0.112319895,106.0
20300,0.112437672,106.0
20400,0.112550244,106.0
20500,0.112658714,107.0
20600,0.112765351,107.0
20700,0.112866296,107.0
20800,0.11298054,107.0
20900,0.113074844,107.0
21000,0.113187191,107.0
21100,0.113285958,107.0
21200,0.113388015,110.0
21300,0.113500793,110.0
21400,0.113612163,112.0
21500,0.113715266,112.0
21600,0.113817353,113.0
21700,0.113937653,113.0
21800,0.114053386,113.0
21900,0.114170666,113.0
22000,0.114281267,113.0
22100,0.114387128,114.0
22200,0.114481683,114.0
22300,0.114592401,114.0
22400,0.114705248,114.0
22500,0.114817164,114.0
22600,0.114920437,115.0
22700,0.115033117,115.0
22800,0.132425554,115.0
22900,0.132797516,115.0
23000,0.13300049,115.0
23100,0.13313536,115.0
23200,0.13327928,115.0
23300,0.135401721,115.0
23400,0.135570625,115.0
23500,0.14995059,115.0
23600,0.151858485,115.0
23700,0.1522306,115.0
23800,0.152457691,115.0
23900,0.152690768,116.0
24000,0.154237075,116.0
24100,0.154579785,117.0
24200,0.154813608,117.0
24300,0.155096194,117.0
24400,0.155434373,117.0
24500,0.155801842,117.0
24600,0.156008506,117.0
24700,0.156178078,117.0
24800,0.15638185,118.0
24900,0.156569198,121.0
25000,0.156728866,125.0
25100,0.156991495,125.0
25200,0.157314358,126.0
25300,0.157984098,126.0
25400,0.158136793,128.0
25500,0.158336434,128.0
25600,0.158481442,133.0
25700,0.158707288,133.0
25800,0.158862288,133.0
25900,0.159044275,133.0
26000,0.159210928,133.0
26100,0.159354148,133.0
26200,0.15950515,133.0
26300,0.163610562,133.0
26400,0.164134481,133.0
26500,0.164568194,133.0
26600,0.164973697,133.0
26700,0.165457348,133.0
26800,0.169269095,133.0
26900,0.169686302,133.0
27000,0.170045408,133.0
27100,0.170397367,134.0
27200,0.170675082,134.0
27300,0.170993616,134.0
27400,0.17114754,136.0
27500,0.171297746,136.0
27600,0.17144475,136.0
27700,0.171593432,136.0
27800,0.171746297,136.0
27900,0.171887778,136.0
28000,0.172061474,136.0
28100,0.172433127,136.0
28200,0.172815093,136.0
28300,0.173168092,136.0
28400,0.173348325,136.0
28500,0.173496792,136.0
28600,0.173647031,136.0
28700,0.173806926,136.0
28800,0.173950245,137.0
28900,0.174097607,137.0
29000,0.174370563,137.0
29100,0.174756476,137.0
29200,0.175133531,137.0
29300,0.175293695,137.0
29400,0.175443868,137.0
29500,0.175593325,137.0
29600,0.175731361,137.0
29700,0.175887173,137.0
29800,0.1761425,137.0
