iteration number, training time, fitness
0,0.126262999,1.655
100,0.470296248,16.985
200,0.721499987,22.775
300,0.879729432,22.865
400,0.970103592,22.9
500,1.05208356,22.91
600,1.096788567,23.21
700,1.117246284,23.78
800,1.138597852,24.585
900,1.265110896,27.93
1000,1.347571157,28.275
1100,1.443552096,28.765
1200,1.556930188,29.04
1300,1.582301171,32.575
1400,1.652663488,33.865
1500,1.692718088,33.98
1600,1.712184789,33.93
1700,1.742360777,33.665
1800,1.955875251,34.005
1900,2.210250633,33.87
2000,2.506025316,34.395
2100,2.702055053,34.305
2200,3.032649174,34.76
2300,3.187766573,36.76
2400,3.358422566,36.9
2500,3.45596209,43.715
2600,3.490161603,43.695
2700,3.521911135,43.41
2800,3.560567804,43.955
2900,3.696313547,43.63
3000,3.98202975,43.695
3100,4.045290031,49.155
3200,4.372100204,50.0
3300,4.79988152,50.005
3400,5.244149314,49.815
3500,5.560405722,49.505
3600,5.970238721,49.75
3700,6.340435989,49.915
3800,6.76710357,49.38
3900,7.143003337,49.74
4000,8.098632993,49.565
4100,8.455716039,49.77
4200,8.568744924,49.94
4300,8.644068722,49.255
4400,8.718519743,49.81
4500,8.821643049,50.475
4600,8.855489713,50.755
4700,8.983764385,51.385
4800,9.0169332,50.97
4900,9.044537639,51.655
5000,9.069573728,52.0
5100,9.089870605,51.69
5200,9.116137565,51.34
5300,9.276804501,51.635
5400,9.358896157,51.73
5500,9.427504914,51.62
5600,9.476495308,51.805
5700,9.643807263,51.625
5800,9.783568198,52.2
5900,9.906090759,52.7
6000,10.007230551,52.54
6100,10.088345009,52.65
6200,10.137941326,52.86
6300,10.178813825,52.865
6400,10.203245642,52.71
6500,10.233859173,52.165
6600,10.258608684,52.77
6700,10.288824322,52.695
6800,10.32353176,52.79
6900,10.351293792,52.725
7000,10.387811762,52.495
7100,10.471441876,52.49
7200,10.539439411,52.085
7300,10.606703003,55.09
7400,10.676938888,55.76
7500,10.709388225,55.235
7600,10.738103628,55.67
7700,10.793939291,55.745
7800,10.964989484,55.23
7900,10.993335092,55.87
8000,11.02158788,55.81
8100,11.092718483,55.96
8200,11.142214601,55.655
8300,11.158982384,55.325
8400,11.185538852,55.37
8500,11.214105725,55.52
8600,11.333492684,55.69
8700,11.36675639,54.91
8800,11.409699059,56.0
8900,11.447327359,55.65
9000,11.471859651,55.575
9100,11.508134854,55.76
9200,11.558223195,55.88
9300,11.592408856,55.485
9400,11.614059204,55.625
9500,11.715208286,55.435
9600,11.757576396,55.365
9700,11.821817894,55.39
9800,11.968763089,55.575
9900,12.004651856,54.815
10000,12.026352164,55.27
10100,12.081644122,62.685
10200,12.115212903,62.61
10300,12.134798806,62.83
10400,12.156028463,63.735
10500,12.175340839,64.35
10600,12.193740767,64.325
10700,12.213050471,64.8
10800,12.24327308,65.94
10900,12.272461306,65.475
11000,12.335088325,66.465
11100,12.431856081,66.1
11200,12.456996247,66.755
11300,12.483550065,67.845
11400,12.506030757,68.62
11500,12.524409051,68.545
11600,12.552840491,69.11
11700,12.609478563,70.92
11800,12.634150223,71.825
11900,12.659364246,72.785
12000,12.680421832,73.43
12100,12.694991934,73.525
12200,12.714258715,73.18
12300,12.732420528,73.5
12400,12.748461951,73.215
12500,12.778088742,72.89
12600,12.818296531,73.275
12700,12.845122806,73.035
12800,12.870549454,73.23
12900,12.897692556,73.32
13000,12.918553677,72.59
13100,12.950985546,72.815
13200,12.967748136,73.345
13300,12.982862583,72.975
