iteration number, training time, fitness
0,0.232128068,4.0
100,3.362085581,26.0
200,5.922533355,29.0
300,8.014043212,33.0
400,10.242660621,37.0
500,12.098481438,43.0
600,14.229350812,51.0
700,16.05951264,61.0
800,17.870718167,67.0
900,20.282309941,69.0
1000,22.068514916,70.0
1100,23.870893679,70.0
1200,25.705462122,76.0
1300,27.497252947,83.0
1400,29.18379035,84.0
1500,31.19194598,91.0
1600,33.703826899,92.0
1700,36.215329541,93.0
1800,38.966469244,94.0
1900,40.824678441,104.0
2000,42.752839281,106.0
2100,44.862532395,108.0
2200,47.036923445,111.0
2300,49.596377078,113.0
2400,52.465337944,117.0
2500,54.366424087,121.0
2600,56.411350821,126.0
2700,58.450698722,135.0
2800,60.377624186,135.0
2900,62.053553425,142.0
3000,64.791803844,145.0
3100,67.243154466,149.0
3200,71.800603273,152.0
3300,77.308625761,155.0
3400,80.506950496,155.0
3500,82.475225417,155.0
3600,85.353327009,155.0
3700,87.338199912,160.0
3800,89.155300808,162.0
3900,90.911068483,169.0
4000,92.658364909,174.0
4100,94.830117382,174.0
4200,96.635980384,179.0
4300,98.361058429,179.0
4400,100.10333138,183.0
4500,102.028767925,185.0
4600,103.762185564,187.0
4700,105.678506308,187.0
4800,107.333067262,187.0
4900,108.948424408,191.0
5000,110.666780774,191.0
5100,112.402526238,191.0
5200,113.965239699,194.0
5300,115.555570196,194.0
5400,117.195253102,196.0
5500,118.820199291,200.0
5600,120.407822362,200.0
5700,122.024053238,200.0
5800,123.754024691,200.0
5900,125.437363369,200.0
6000,127.06306432,200.0
6100,129.13413941,200.0
6200,130.878653697,200.0
6300,132.4945458,200.0
6400,134.175130302,200.0
6500,135.847966721,200.0
6600,137.374357664,200.0
6700,139.008465069,200.0
6800,140.800499004,200.0
6900,142.808115067,200.0
7000,144.909172259,200.0
7100,146.913105789,200.0
7200,148.519140477,200.0
7300,150.051685528,200.0
7400,151.758762337,200.0
7500,153.436512335,200.0
7600,155.148382219,200.0
7700,156.747759518,200.0
7800,158.452982786,200.0
7900,160.172971961,200.0
8000,161.832430394,200.0
8100,163.395360725,200.0
